"trainer/global_step","sam_distill_scannet - loss/total_step","sam_distill_scannet - loss/total_step__MIN","sam_distill_scannet - loss/total_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"279","0.5608934164047241","0.5608934164047241","0.5608934164047241","521","521","521"
"289","0.4263928234577179","0.4263928234577179","0.4263928234577179","539","539","539"
"299","0.3488326072692871","0.3488326072692871","0.3488326072692871","556","556","556"
"309","0.36284124851226807","0.36284124851226807","0.36284124851226807","581","581","581"
"319","0.3987017869949341","0.3987017869949341","0.3987017869949341","598","598","598"
"329","0.4072116017341614","0.4072116017341614","0.4072116017341614","616","616","616"
"339","0.35505080223083496","0.35505080223083496","0.35505080223083496","633","633","633"
"349","0.4276418089866638","0.4276418089866638","0.4276418089866638","650","650","650"
"359","0.42193183302879333","0.42193183302879333","0.42193183302879333","671","671","671"
"369","0.4455142617225647","0.4455142617225647","0.4455142617225647","689","689","689"
"379","0.3054233193397522","0.3054233193397522","0.3054233193397522","706","706","706"
"389","0.423336923122406","0.423336923122406","0.423336923122406","718","718","718"
"399","0.4000866115093231","0.4000866115093231","0.4000866115093231","736","736","736"
"409","0.4779111444950104","0.4779111444950104","0.4779111444950104","762","762","762"
"419","0.3696497082710266","0.3696497082710266","0.3696497082710266","779","779","779"
"429","0.3179469108581543","0.3179469108581543","0.3179469108581543","796","796","796"
"439","0.32651466131210327","0.32651466131210327","0.32651466131210327","813","813","813"
"449","0.4198000729084015","0.4198000729084015","0.4198000729084015","831","831","831"
"459","0.412582665681839","0.412582665681839","0.412582665681839","856","856","856"
"469","0.3092413544654846","0.3092413544654846","0.3092413544654846","873","873","873"
"479","0.3880574703216553","0.3880574703216553","0.3880574703216553","890","890","890"
"489","0.3862404227256775","0.3862404227256775","0.3862404227256775","908","908","908"
"499","0.46942511200904846","0.46942511200904846","0.46942511200904846","925","925","925"
"509","0.3170122504234314","0.3170122504234314","0.3170122504234314","950","950","950"
"519","0.3445693850517273","0.3445693850517273","0.3445693850517273","963","963","963"
"529","0.39456668496131897","0.39456668496131897","0.39456668496131897","981","981","981"
"539","0.3905622363090515","0.3905622363090515","0.3905622363090515","998","998","998"
"549","0.4689674973487854","0.4689674973487854","0.4689674973487854","1015","1015","1015"
"559","0.30598095059394836","0.30598095059394836","0.30598095059394836","1041","1041","1041"
"569","0.3032219111919403","0.3032219111919403","0.3032219111919403","1058","1058","1058"
"579","0.37181684374809265","0.37181684374809265","0.37181684374809265","1075","1075","1075"
"589","0.36181434988975525","0.36181434988975525","0.36181434988975525","1092","1092","1092"
"599","0.3080451786518097","0.3080451786518097","0.3080451786518097","1110","1110","1110"
"609","0.3860660195350647","0.3860660195350647","0.3860660195350647","1135","1135","1135"
"619","0.42452138662338257","0.42452138662338257","0.42452138662338257","1152","1152","1152"
"629","0.3633136749267578","0.3633136749267578","0.3633136749267578","1169","1169","1169"
"639","0.3172975480556488","0.3172975480556488","0.3172975480556488","1187","1187","1187"
"649","0.385640025138855","0.385640025138855","0.385640025138855","1199","1199","1199"
"659","0.4810582995414734","0.4810582995414734","0.4810582995414734","1225","1225","1225"
"669","0.5450894832611084","0.5450894832611084","0.5450894832611084","1242","1242","1242"
"679","0.3564019203186035","0.3564019203186035","0.3564019203186035","1260","1260","1260"
"689","0.26249802112579346","0.26249802112579346","0.26249802112579346","1277","1277","1277"
"699","0.3820399045944214","0.3820399045944214","0.3820399045944214","1294","1294","1294"
"709","0.3975546956062317","0.3975546956062317","0.3975546956062317","1319","1319","1319"
"719","0.35772716999053955","0.35772716999053955","0.35772716999053955","1337","1337","1337"
"729","0.3253360986709595","0.3253360986709595","0.3253360986709595","1354","1354","1354"
"739","0.35595932602882385","0.35595932602882385","0.35595932602882385","1371","1371","1371"
"749","0.5111082196235657","0.5111082196235657","0.5111082196235657","1388","1388","1388"
"759","0.4051409065723419","0.4051409065723419","0.4051409065723419","1414","1414","1414"
"769","0.28022077679634094","0.28022077679634094","0.28022077679634094","1431","1431","1431"
"779","0.41522401571273804","0.41522401571273804","0.41522401571273804","1443","1443","1443"
"789","0.4118921756744385","0.4118921756744385","0.4118921756744385","1461","1461","1461"
"799","0.3747519552707672","0.3747519552707672","0.3747519552707672","1479","1479","1479"
"809","0.41508981585502625","0.41508981585502625","0.41508981585502625","1504","1504","1504"
