"trainer/global_step","sam_distill_scannet - loss/feature_cosine_step","sam_distill_scannet - loss/feature_cosine_step__MIN","sam_distill_scannet - loss/feature_cosine_step__MAX","sam_distill_scannet - _step","sam_distill_scannet - _step__MIN","sam_distill_scannet - _step__MAX"
"599","0.20882278680801392","0.20882278680801392","0.20882278680801392","1110","1110","1110"
"609","0.269805908203125","0.269805908203125","0.269805908203125","1135","1135","1135"
"619","0.2943932116031647","0.2943932116031647","0.2943932116031647","1152","1152","1152"
"629","0.24806077778339386","0.24806077778339386","0.24806077778339386","1169","1169","1169"
"639","0.2163720726966858","0.2163720726966858","0.2163720726966858","1187","1187","1187"
"649","0.28612416982650757","0.28612416982650757","0.28612416982650757","1199","1199","1199"
"659","0.29863739013671875","0.29863739013671875","0.29863739013671875","1225","1225","1225"
"669","0.33563995361328125","0.33563995361328125","0.33563995361328125","1242","1242","1242"
"679","0.254102498292923","0.254102498292923","0.254102498292923","1260","1260","1260"
"689","0.1809290051460266","0.1809290051460266","0.1809290051460266","1277","1277","1277"
"699","0.26202741265296936","0.26202741265296936","0.26202741265296936","1294","1294","1294"
"709","0.27953383326530457","0.27953383326530457","0.27953383326530457","1319","1319","1319"
"719","0.26138898730278015","0.26138898730278015","0.26138898730278015","1337","1337","1337"
"729","0.22081555426120758","0.22081555426120758","0.22081555426120758","1354","1354","1354"
"739","0.25651073455810547","0.25651073455810547","0.25651073455810547","1371","1371","1371"
"749","0.31502893567085266","0.31502893567085266","0.31502893567085266","1388","1388","1388"
"759","0.28066709637641907","0.28066709637641907","0.28066709637641907","1414","1414","1414"
"769","0.19787000119686127","0.19787000119686127","0.19787000119686127","1431","1431","1431"
"779","0.2970499098300934","0.2970499098300934","0.2970499098300934","1443","1443","1443"
"789","0.2734898030757904","0.2734898030757904","0.2734898030757904","1461","1461","1461"
"799","0.26180630922317505","0.26180630922317505","0.26180630922317505","1479","1479","1479"
"809","0.2987475097179413","0.2987475097179413","0.2987475097179413","1504","1504","1504"
