"trainer/global_step","c3g-sam-base - loss/lpips_step","c3g-sam-base - loss/lpips_step__MIN","c3g-sam-base - loss/lpips_step__MAX","c3g-sam-base - _step","c3g-sam-base - _step__MIN","c3g-sam-base - _step__MAX"
"3519","0.03223681077361107","0.03223681077361107","0.03223681077361107","2011","2011","2011"
"3529","0.031913310289382935","0.031913310289382935","0.031913310289382935","2016","2016","2016"
"3539","0.03301844745874405","0.03301844745874405","0.03301844745874405","2021","2021","2021"
"3549","0.03561195358633995","0.03561195358633995","0.03561195358633995","2026","2026","2026"
"3559","0.03491389378905296","0.03491389378905296","0.03491389378905296","2031","2031","2031"
"3569","0.032194774597883224","0.032194774597883224","0.032194774597883224","2036","2036","2036"
"3579","0.0364336334168911","0.0364336334168911","0.0364336334168911","2041","2041","2041"
"3589","0.03416850417852402","0.03416850417852402","0.03416850417852402","2046","2046","2046"
"3599","0.03334767743945122","0.03334767743945122","0.03334767743945122","2051","2051","2051"
"3609","0.03561325743794441","0.03561325743794441","0.03561325743794441","2056","2056","2056"
"3619","0.03649821877479553","0.03649821877479553","0.03649821877479553","2061","2061","2061"
"3629","0.03294026479125023","0.03294026479125023","0.03294026479125023","2066","2066","2066"
"3639","0.03398309648036957","0.03398309648036957","0.03398309648036957","2071","2071","2071"
"3649","0.03181639313697815","0.03181639313697815","0.03181639313697815","2076","2076","2076"
"3659","0.033112090080976486","0.033112090080976486","0.033112090080976486","2081","2081","2081"
"3669","0.03621746972203255","0.03621746972203255","0.03621746972203255","2086","2086","2086"
"3679","0.03685504198074341","0.03685504198074341","0.03685504198074341","2091","2091","2091"
"3689","0.03584056720137596","0.03584056720137596","0.03584056720137596","2096","2096","2096"
"3699","0.036588869988918304","0.036588869988918304","0.036588869988918304","2101","2101","2101"
"3709","0.034397680312395096","0.034397680312395096","0.034397680312395096","2106","2106","2106"
"3719","0.03496577590703964","0.03496577590703964","0.03496577590703964","2111","2111","2111"
"3729","0.03407760336995125","0.03407760336995125","0.03407760336995125","2116","2116","2116"
"3739","0.03495560213923454","0.03495560213923454","0.03495560213923454","2121","2121","2121"
"3749","0.03216511011123657","0.03216511011123657","0.03216511011123657","2126","2126","2126"
"3759","0.03387843072414398","0.03387843072414398","0.03387843072414398","2132","2132","2132"
"3769","0.03478686884045601","0.03478686884045601","0.03478686884045601","2137","2137","2137"
"3779","0.033154960721731186","0.033154960721731186","0.033154960721731186","2142","2142","2142"
"3789","0.03659563884139061","0.03659563884139061","0.03659563884139061","2147","2147","2147"
"3799","0.03223781660199165","0.03223781660199165","0.03223781660199165","2152","2152","2152"
"3809","0.03101876750588417","0.03101876750588417","0.03101876750588417","2157","2157","2157"
"3819","0.03378854691982269","0.03378854691982269","0.03378854691982269","2162","2162","2162"
"3829","0.03468812629580498","0.03468812629580498","0.03468812629580498","2167","2167","2167"
"3839","0.03351203724741936","0.03351203724741936","0.03351203724741936","2172","2172","2172"
"3849","0.03439358249306679","0.03439358249306679","0.03439358249306679","2177","2177","2177"
"3859","0.03551892191171646","0.03551892191171646","0.03551892191171646","2182","2182","2182"
"3869","0.035933900624513626","0.035933900624513626","0.035933900624513626","2187","2187","2187"
"3879","0.03518778085708618","0.03518778085708618","0.03518778085708618","2192","2192","2192"
"3889","0.03474244475364685","0.03474244475364685","0.03474244475364685","2197","2197","2197"
"3899","0.03387472778558731","0.03387472778558731","0.03387472778558731","2202","2202","2202"
"3909","0.03397238999605179","0.03397238999605179","0.03397238999605179","2207","2207","2207"
"3919","0.03429461643099785","0.03429461643099785","0.03429461643099785","2212","2212","2212"
"3929","0.031865209341049194","0.031865209341049194","0.031865209341049194","2217","2217","2217"
"3939","0.03391901031136513","0.03391901031136513","0.03391901031136513","2222","2222","2222"
"3949","0.03202032670378685","0.03202032670378685","0.03202032670378685","2227","2227","2227"
"3959","0.03341769799590111","0.03341769799590111","0.03341769799590111","2232","2232","2232"
"3969","0.036580152809619904","0.036580152809619904","0.036580152809619904","2237","2237","2237"
"3979","0.03563925251364708","0.03563925251364708","0.03563925251364708","2242","2242","2242"
"3989","0.035232044756412506","0.035232044756412506","0.035232044756412506","2247","2247","2247"
"3999","0.03343583270907402","0.03343583270907402","0.03343583270907402","2252","2252","2252"
"4009","0.034508928656578064","0.034508928656578064","0.034508928656578064","2290","2290","2290"
"4019","0.03504771739244461","0.03504771739244461","0.03504771739244461","2295","2295","2295"
"4029","0.033542852848768234","0.033542852848768234","0.033542852848768234","2301","2301","2301"
"4039","0.03403306007385254","0.03403306007385254","0.03403306007385254","2306","2306","2306"
"4049","0.03296377882361412","0.03296377882361412","0.03296377882361412","2311","2311","2311"
"4059","0.03381830453872681","0.03381830453872681","0.03381830453872681","2316","2316","2316"
"4069","0.035813476890325546","0.035813476890325546","0.035813476890325546","2321","2321","2321"
"4079","0.03472625091671944","0.03472625091671944","0.03472625091671944","2326","2326","2326"
"4089","0.034374941140413284","0.034374941140413284","0.034374941140413284","2331","2331","2331"
"4099","0.035915594547986984","0.035915594547986984","0.035915594547986984","2336","2336","2336"
"4109","0.03441580384969711","0.03441580384969711","0.03441580384969711","2341","2341","2341"
"4119","0.03333967551589012","0.03333967551589012","0.03333967551589012","2346","2346","2346"
"4129","0.033416908234357834","0.033416908234357834","0.033416908234357834","2351","2351","2351"
"4139","0.03245358541607857","0.03245358541607857","0.03245358541607857","2356","2356","2356"
"4149","0.03263426944613457","0.03263426944613457","0.03263426944613457","2361","2361","2361"
"4159","0.036838363856077194","0.036838363856077194","0.036838363856077194","2366","2366","2366"
"4169","0.03727737441658974","0.03727737441658974","0.03727737441658974","2371","2371","2371"
"4179","0.033653248101472855","0.033653248101472855","0.033653248101472855","2376","2376","2376"
"4189","0.03456398844718933","0.03456398844718933","0.03456398844718933","2381","2381","2381"
"4199","0.030731016770005226","0.030731016770005226","0.030731016770005226","2386","2386","2386"
"4209","0.0332481823861599","0.0332481823861599","0.0332481823861599","2391","2391","2391"
"4219","0.03462529182434082","0.03462529182434082","0.03462529182434082","2396","2396","2396"
"4229","0.032902542501688004","0.032902542501688004","0.032902542501688004","2401","2401","2401"
"4239","0.032773956656455994","0.032773956656455994","0.032773956656455994","2406","2406","2406"
"4249","0.035501107573509216","0.035501107573509216","0.035501107573509216","2411","2411","2411"
"4259","0.03352534770965576","0.03352534770965576","0.03352534770965576","2416","2416","2416"
"4269","0.032949186861515045","0.032949186861515045","0.032949186861515045","2421","2421","2421"
